Gaming_Platform,YoR,Sales_NA,Sales_EU,Sales_JP,Other_Sales,Genre
PSP,2009.0,0.09,0.15,0.0,0.08,Racing
PS2,2008.0,0.06,0.05,0.0,0.02,Racing
PS,1999.0,0.03,0.02,0.0,0.0,Racing
PSP,2012.0,0.0,0.0,0.03,0.0,Adventure
DS,2011.0,0.0,0.0,0.12,0.0,Action
PSV,2012.0,0.0,0.0,0.06,0.0,Adventure
PS2,2000.0,0.24,0.19,0.75,0.06,Action
X360,2007.0,0.22,0.34,0.0,0.07,Racing
PSP,2006.0,0.01,0.0,0.0,0.0,Racing
PS2,2002.0,0.15,0.12,0.0,0.04,Adventure
GBA,2002.0,0.01,0.0,0.0,0.0,Racing
PS2,2003.0,0.01,0.01,0.0,0.0,Racing
Wii,2009.0,0.21,0.0,0.0,0.02,Adventure
PSP,2013.0,0.0,0.0,0.03,0.0,Adventure
PSV,2015.0,0.0,0.0,0.01,0.0,Action
PS,1999.0,0.24,0.16,0.0,0.03,Adventure
PS4,2014.0,0.0,0.05,0.01,0.01,Action
XB,2002.0,0.1,0.03,0.0,0.0,Action
PS4,2016.0,0.72,0.0,0.0,0.17,Action
N64,1997.0,0.28,0.17,0.0,0.01,Racing
XB,2003.0,0.15,0.04,0.0,0.01,Platform
XB,2005.0,0.16,0.04,0.0,0.01,Action
XOne,2016.0,0.01,0.02,0.0,0.0,Racing
DS,2010.0,0.0,0.0,0.17,0.0,Action
DS,2010.0,0.17,0.07,0.12,0.02,Adventure
PS4,2014.0,0.16,0.2,0.0,0.07,Action
WiiU,2010.0,0.2,0.33,0.2,0.58,Action
PS,1998.0,0.03,0.02,0.0,0.0,Action
PC,2016.0,0.0,0.01,0.0,0.0,Racing
GBA,2005.0,0.82,0.3,0.0,0.02,Action
3DS,2015.0,0.0,0.0,0.04,0.0,Adventure
DS,2008.0,0.05,0.0,0.0,0.0,Platform
3DS,2011.0,2.09,1.31,0.62,0.31,Action
PS2,2008.0,0.13,0.1,0.03,0.03,Platform
PC,2011.0,0.0,0.03,0.0,0.0,Racing
PS2,1987.0,0.01,0.9,0.31,0.47,Platform
N64,1998.0,0.31,0.07,0.0,0.0,Racing
SAT,1994.0,0.0,0.0,0.06,0.0,Adventure
PS4,2015.0,0.08,0.0,0.08,0.02,Action
PS3,2013.0,0.0,0.0,0.19,0.0,Action
GBA,2001.0,0.39,0.15,0.0,0.01,Action
TG16,2001.0,0.91,0.46,0.83,0.57,Action
PS2,2006.0,0.0,0.0,0.02,0.0,Action
GBA,2005.0,0.04,0.02,0.0,0.0,Racing
PS3,2009.0,0.07,0.03,0.0,0.01,Action
XB,2002.0,0.05,0.02,0.0,0.0,Platform
DS,2009.0,0.03,0.0,0.0,0.0,Racing
GBA,,0.02,0.01,0.0,0.0,Action
PS2,2010.0,0.0,0.0,0.03,0.0,Adventure
XOne,2016.0,0.01,0.0,0.0,0.0,Action
PS2,2007.0,0.0,0.0,0.01,0.0,Adventure
PSV,2012.0,0.0,0.0,0.06,0.0,Action
X360,2014.0,0.03,0.05,0.0,0.01,Racing
X360,2011.0,0.29,0.0,0.0,0.02,Racing
GB,2000.0,1.11,0.51,0.34,0.23,Platform
PSP,2010.0,0.0,0.0,0.04,0.0,Adventure
GBA,2003.0,0.01,0.0,0.0,0.0,Racing
PS2,2005.0,0.09,0.07,0.0,0.02,Action
Wii,2009.0,0.0,0.02,0.0,0.0,Racing
X360,2008.0,1.68,0.45,0.01,0.21,Racing
3DS,2014.0,0.0,0.0,0.04,0.0,Adventure
PS2,2007.0,0.04,0.03,0.0,0.01,Action
Wii,2011.0,0.0,0.0,0.08,0.0,Action
Wii,2011.0,0.1,0.04,0.0,0.01,Action
GC,2002.0,0.06,0.02,0.0,,Racing
XOne,2014.0,0.12,0.08,0.0,0.02,Action
PS3,2009.0,0.0,0.05,0.01,0.01,Racing
SNES,1992.0,3.54,1.24,3.81,0.18,Racing
GC,2003.0,4.12,1.77,0.87,0.19,Racing
N64,1998.0,0.05,0.01,0.0,0.0,Racing
DS,2009.0,0.1,0.0,0.0,0.01,Adventure
GC,2003.0,0.69,0.18,0.0,0.02,Action
PS3,2016.0,0.0,0.0,0.01,0.0,Action
PSP,2009.0,0.0,0.0,0.17,0.0,Action
PS3,2013.0,0.56,0.41,0.09,0.19,Action
PS3,2012.0,0.09,0.07,0.14,0.03,Action
PSP,2007.0,0.05,0.0,0.0,0.0,Action
DS,2010.0,0.05,0.01,0.0,0.0,Adventure
WiiU,2009.0,0.27,0.58,0.86,0.53,Platform
PC,2016.0,0.04,0.07,0.0,0.01,Action
PS,1998.0,0.07,0.05,0.0,0.01,Action
XB,2005.0,0.01,0.0,0.0,0.0,Adventure
Wii,2006.0,0.44,0.02,0.0,0.04,Platform
PS2,2003.0,0.21,0.16,0.0,0.06,Action
WiiU,2010.0,0.8,0.21,0.95,0.96,Platform
X360,2008.0,6.76,3.07,0.14,1.03,Action
PS,2000.0,0.08,0.06,0.0,0.01,Action
PS,1999.0,0.59,0.4,0.0,0.07,Racing
DS,2008.0,0.65,0.22,0.0,0.09,Action
SNES,1991.0,0.0,0.0,0.42,0.0,Action
X360,2010.0,0.1,0.04,0.0,0.01,Action
DS,2008.0,0.35,0.12,0.0,0.05,Action
PS4,2016.0,0.0,0.04,0.0,0.01,Action
PS2,2005.0,0.06,0.05,0.0,0.02,Platform
GC,2003.0,0.1,0.03,0.0,0.0,Action
PS2,1992.0,0.08,0.64,0.03,0.51,Platform
PS2,2002.0,0.74,0.95,0.0,0.28,Platform
SNES,2005.0,1.6,1.72,1.91,1.51,Action
X360,2010.0,0.09,0.0,0.0,0.01,Action
NES,1991.0,0.51,0.09,0.32,0.01,Platform
XOne,2013.0,1.48,0.55,0.0,0.21,Action
PS2,2003.0,0.63,0.49,0.0,0.16,Action
Wii,2006.0,3.74,2.14,0.6,0.68,Action
PS2,2007.0,0.02,0.01,0.0,0.0,Racing
Wii,2010.0,0.16,0.08,0.0,0.02,Platform
PS3,2013.0,0.01,0.42,0.03,0.09,Racing
DS,2009.0,0.0,0.0,0.05,0.0,Adventure
DS,2006.0,0.01,0.0,0.0,0.0,Action
2600,1983.0,0.38,0.02,0.0,0.0,Adventure
DS,2008.0,0.07,0.0,0.0,0.01,Adventure
2600,,2.06,0.12,0.0,,Action
PS,1998.0,0.0,0.0,0.36,0.03,Racing
SNES,2006.0,1.89,0.72,1.37,0.62,Adventure
X360,2011.0,0.72,0.29,0.01,0.09,Action
X360,2010.0,0.66,0.5,0.05,0.13,Action
GBA,2003.0,0.07,0.03,0.0,0.0,Racing
X360,2008.0,0.36,0.02,0.0,0.03,Action
XB,2003.0,0.08,0.02,0.0,0.0,Adventure
XB,2004.0,0.11,0.03,0.0,0.01,Platform
GBA,2002.0,0.1,0.04,0.0,0.0,Platform
DS,2005.0,0.2,0.01,0.0,0.02,Action
PSP,2009.0,0.08,0.0,0.0,0.01,Adventure
PS2,2005.0,0.13,0.1,0.0,0.03,Action
PS2,2003.0,0.46,0.36,0.0,0.12,Action
DS,2008.0,0.04,0.0,0.0,0.0,Adventure
PS2,2004.0,0.02,0.01,0.0,0.0,Action
GC,2005.0,0.05,0.01,0.0,0.0,Action
X360,2013.0,0.86,0.84,0.01,0.17,Action
3DS,2015.0,0.0,0.03,0.0,0.0,Action
PSV,2014.0,0.0,0.0,0.02,0.0,Adventure
PS3,2007.0,0.07,0.42,0.0,0.14,Racing
X360,2011.0,0.0,0.05,0.0,0.01,Racing
PS2,2009.0,0.12,0.01,0.0,0.14,Action
PS,1999.0,0.12,0.08,0.0,0.01,Action
XB,2002.0,0.04,0.01,0.0,0.0,Adventure
X360,2010.0,0.11,0.0,0.0,0.01,Racing
XOne,2016.0,0.01,0.01,0.0,0.0,Action
PS3,2012.0,0.12,0.63,0.05,0.23,Racing
PS4,2015.0,0.25,0.33,0.0,0.11,Adventure
XOne,2014.0,0.12,0.1,0.0,0.02,Racing
PS2,1999.0,0.17,0.67,0.55,0.21,Adventure
N64,1998.0,0.04,0.01,0.0,0.0,Platform
PSV,2014.0,0.0,0.0,0.03,0.0,Adventure
XB,2003.0,0.08,0.02,0.0,0.0,Platform
PS,1998.0,0.04,0.03,0.0,0.0,Action
XB,2003.0,0.01,0.0,0.0,0.0,Racing
XB,2003.0,0.96,0.37,0.0,0.05,Action
DS,2009.0,0.0,0.0,0.04,0.0,Action
XB,2002.0,0.05,0.02,0.0,0.0,Racing
DS,2008.0,1.4,0.59,0.0,0.2,Action
PS2,1999.0,0.2,0.43,0.48,0.56,Action
DS,2008.0,0.07,0.0,0.0,0.01,Adventure
Wii,2009.0,0.17,0.0,0.0,0.01,Action
3DS,2011.0,0.0,0.0,0.02,0.0,Action
PSP,2006.0,0.08,0.0,0.0,0.01,Action
PS,1998.0,0.23,0.16,0.0,0.03,Racing
Wii,,0.0,0.0,0.02,0.0,Racing
X360,2010.0,1.84,0.12,0.01,0.13,Action
SAT,2001.0,0.74,0.53,0.63,0.98,Action
PS3,2012.0,0.51,0.6,0.0,0.25,Action
PC,2011.0,0.14,0.48,0.0,0.12,Action
Wii,2009.0,0.11,0.1,0.0,0.02,Adventure
DS,2007.0,0.01,0.0,0.0,0.0,Racing
PS3,2014.0,0.0,0.0,0.14,0.0,Action
GBA,2004.0,0.17,0.06,0.09,0.01,Platform
PC,2012.0,0.0,0.02,0.0,0.0,Racing
PSP,2005.0,0.71,0.0,0.0,0.06,Action
PS2,2006.0,0.0,0.0,0.02,0.0,Action
PS3,2011.0,0.13,0.07,0.0,0.03,Action
PS3,2009.0,0.0,0.0,0.23,0.0,Action
PS,2000.0,0.08,0.06,0.0,0.01,Platform
XB,2002.0,1.85,1.04,0.0,0.13,Action
PC,2016.0,0.0,0.02,0.0,0.0,Adventure
DS,2010.0,0.0,0.07,0.0,0.01,Adventure
DS,2010.0,0.06,0.0,0.0,0.0,Action
Wii,2007.0,0.5,0.03,0.0,0.05,Action
DS,2010.0,0.06,0.0,0.0,0.0,Action
XB,2006.0,0.06,0.02,0.0,0.0,Action
SNES,1993.0,0.0,0.0,0.31,0.0,Platform
PC,2010.0,0.0,0.04,0.0,0.01,Action
XB,2005.0,0.49,0.2,0.0,0.02,Adventure
DS,2011.0,0.06,0.03,0.0,0.01,Action
X360,2009.0,0.17,0.05,0.0,0.02,Action
PS2,1995.0,0.35,0.67,0.99,0.51,Action
