region,Year,Population,GDP per Capita,Urban Population,Life Expectancy,Surface Area,Literacy Rate
americas,2015,43131966.0,13789.060424772,91.503,76.76,2780400.0,
africa,2015,6192235.0,7867.5157311439,79.27,71.698,1759540.0,
americas,2015,575475.0,8907.83725830091,66.056,70.8,163820.0,
africa,2015,23012646.0,1399.67533591995,54.578,59.658,475440.0,
africa,2017,11155593.0,244.14542219677,12.706,61.553,27830.0,68.3753280639648
americas,2016,104874.0,28449.7129463044,43.192,75.617,180.0,
africa,2015,5064386.0,2455.34791009784,65.543,63.233,342000.0,
europe,2015,569604.0,105462.012584423,90.179,82.2926829268293,2590.0,
europe,2016,2865835.0,3679.95234740376,63.082,74.664,29740.0,99.7444076538086
asia,2015,31068833.0,9699.60046342736,74.213,75.094,330345.0,
asia,2015,6398940.0,7802.75136769776,88.106,79.229,10450.0,
africa,2015,2118521.0,1113.83683453612,26.908,51.101,30360.0,
africa,2016,1263747.0,9965.72531085228,40.91,74.3948780487805,2007.0,93.1578369140625
africa,2015,78656904.0,482.064568638238,42.74,58.49,2344860.0,
asia,2015,33753499.0,566.881132665072,24.803,62.659,652860.0,
asia,2015,4609400.0,38630.7265886928,86.341,81.6124390243903,267710.0,
europe,2016,2876101.0,4124.05538986272,58.421,78.86,28750.0,
europe,2015,1315407.0,17402.0376128079,68.416,77.590243902439,45340.0,
africa,2015,1006259.0,2409.31190224284,77.417,61.957,23200.0,
asia,2015,269460.0,32428.5722348241,69.379,77.2804878048781,18580.0,
europe,2015,3725276.0,4014.11165137641,57.448,73.297,69700.0,
americas,2015,11090085.0,2975.64881143063,68.393,67.318,1098580.0,92.455078125
asia,2015,435582.0,9480.43151420101,38.529,79.695,300.0,
europe,2015,7177991.0,7078.86032298969,73.99,74.6146341463415,111000.0,
asia,2016,261850182.0,3558.81885175737,53.989,69.798,1913580.0,95.3769683837891
asia,2015,51514.0,17665.1007493109,91.357,,460.0,
asia,2015,17542806.0,10510.7703240885,57.191,71.97,2724902.0,
asia,2015,157830000.0,1236.00439239816,34.308,70.491,147630.0,65.1373291015625
asia,2017,216379655.0,1567.6406123353,36.442,66.297,796100.0,59.1320495605469
africa,2016,10903327.0,242.539527292978,12.388,60.793,27830.0,
europe,2015,7095383.0,5588.9794435877,55.696,75.2878048780488,88360.0,
americas,2016,10527592.0,7191.06970308651,79.436,72.987,48670.0,93.7784576416016
africa,2017,15157793.0,1385.1992136057,46.74,67.75,196710.0,51.9004211425781
africa,2015,93419.0,14894.4857827096,55.4,74.2951219512195,460.0,
americas,2016,90564.0,16449.0591470407,24.846,78.152,440.0,
africa,2015,16248230.0,1307.90964916032,41.907,61.208,752610.0,
americas,2015,205188205.0,8783.2154236384,85.77,74.332,8515770.0,92.0478973388672
americas,2015,3402818.0,16950.7531694816,95.045,77.483,176220.0,98.5238723754883
asia,2015,5956900.0,1121.08269597662,35.777,70.6512195121951,199949.0,
americas,2015,107712.0,34007.3529411765,95.35,79.0170731707317,350.0,
europe,2015,37355.0,167809.269874833,14.303,82.6560975609756,160.0,
asia,2015,17794.0,15761.3633809149,78.159,,460.0,96.5937423706055
asia,2015,127141000.0,34960.6393843385,91.381,83.7939024390244,377971.0,
africa,2016,81430977.0,456.027950583624,43.307,59.066,2344860.0,77.0426788330078
asia,2015,1362142.0,22795.4488576612,88.999,79.405,778.0,
europe,2015,2904910.0,14263.9645773495,67.23,74.3219512195122,65286.0,
europe,2015,37986412.0,12560.051419682,60.278,77.4512195121951,312680.0,
europe,2016,7127822.0,7570.93165511708,74.329,74.8121951219512,111000.0,
americas,2017,31605486.0,6676.30879274916,77.72,75.879,1285220.0,94.1496124267578
asia,2015,276438.0,2643.8868859095,24.961,69.513,12190.0,
asia,2015,32749848.0,20442.3660631613,83.18,76.918,2149690.0,
africa,2015,4819333.0,351.879754769554,40.277,52.793,622980.0,
asia,2015,612660.0,2134.80541826155,22.36,69.583,28900.0,
europe,2015,9461076.0,5967.06856034227,77.181,73.6243902439025,207600.0,
americas,2016,6266615.0,5759.04219789251,61.026,73.534,406752.0,94.6502380371094
asia,2015,2964749.0,3919.35121343969,68.23,69.498,1564120.0,
americas,2015,30711863.0,6180.11926810233,77.357,75.621,1285220.0,94.1623382568359
americas,2015,175623.0,10290.3715682224,18.515,73.138,620.0,
asia,2017,5612253.0,61164.8973569773,100.0,83.0951219512195,722.0,97.2022171020508
europe,2015,19815616.0,8976.9544892648,53.887,74.9121951219512,238400.0,
americas,2015,3473232.0,29763.4883013861,93.624,79.695,8870.0,
americas,2015,11339894.0,7683.74025365669,76.896,77.772,109880.0,
